"","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"PHACTR2",-5.4520940750984,-4.9039428255227,-6.525909270031,-1.68059392614138,1.52248040952019,-1.04925757659083,0.132498005267368,8.27653051897536e-08,1.43385952614533e-07,1.42852284571222e-07,2.36420453363343e-07
"PHACTR3",-10.3207292241899,-9.40308373591065,-12.4843243455148,-3.12956681911776,2.63081485166727,-1.0607519795971,0.115169293781433,7.75501051100672e-08,1.34219854521871e-07,3.58133857862517e-08,6.19626764999062e-08
"PHACTR4",-5.20026117008334,-4.16896267325313,-6.10767328046157,-1.91247043097405,1.20470667031809,-1.51221113366035,0.0586510382293755,6.35411603373002e-12,2.35029076834031e-11,4.10114712606491e-11,1.01352360829664e-10
"PHAX",-6.08979901954657,-5.40878737046422,-6.84400462647152,-1.4348423717628,1.05953695070913,-1.30335670854069,0.0613169934234561,3.17604040549416e-10,7.61483282950856e-10,4.02691364818138e-11,9.93972792817102e-11
"PHB",-3.8208401054653,-2.9022758306396,-5.03936117369256,-2.2243858737851,0.878552945966143,-2.64627572105919,0.00426683950782069,3.55090435215935e-17,1.33252090695433e-15,2.17207888110707e-16,6.00499164681051e-15
"PHB2",-3.80623844908303,-3.41974315920376,-4.52426298876333,-1.10721135091708,0.631661238008389,-1.68676587015682,0.0261333609172747,4.75330788579491e-12,1.8328047430306e-11,9.20602927430886e-14,4.68986653440597e-13
"PHC1",-7.84523005397488,-7.45468498760631,-8.69945473936857,-1.30343796849472,1.11903386733514,-1.11259621489993,0.116533338851355,4.9066444936428e-08,8.67087791003858e-08,4.82429008304816e-08,8.25070894469352e-08
"PHC2",-3.61703282879266,-3.18026147494529,-4.4061906330563,-1.23881604254594,0.823994781282436,-1.38395705777413,0.0680000100984538,1.49700840033244e-10,3.84678696331365e-10,1.5539190412576e-10,3.49366915552942e-10
"PHC3",-4.88476689504183,-4.36715812058789,-5.92116825495555,-1.62427538029785,1.23682416562587,-1.24286064787673,0.0872000076832264,1.84047033248764e-09,3.87453642374876e-09,1.35188267523963e-09,2.68543646494821e-09
"PHEX",-12.2029895929176,-11.8469371173183,-12.7631185889984,-0.948933685182075,1.45004141394408,-0.597909579317929,0.244800002045048,0.00104936428659629,0.00136602565191154,0.000977360489811192,0.00126332796911777
"PHF1",-5.19785064330604,-4.77295568653448,-6.16374608461662,-1.35950860408631,0.904248508988811,-1.42105232895223,0.0439882858508163,1.69556404473085e-10,4.30055592077141e-10,2.36831494513333e-12,7.56930702849977e-12
"PHF10",-7.37416592145692,-6.90728726266322,-8.4680824253994,-1.80924213649671,1.3056295877262,-1.30810683343959,0.0495867910108233,1.85527793036906e-09,3.89521759932487e-09,8.28743310153655e-12,2.31475618951832e-11
"PHF11",-6.33345800549565,-5.93258381132239,-7.19699687986085,-1.21563832055844,0.99541862683476,-1.15247732286632,0.0978405825926604,6.87206038699959e-09,1.33439795066365e-08,6.94354311999687e-09,1.28007558823991e-08
"PHF12",-5.82321086524874,-5.1666245735718,-6.70537396473913,-1.3985036983116,1.00255080700419,-1.30548371171521,0.0738666758949197,2.08958057315421e-10,5.19567755947375e-10,3.03887879231953e-10,6.54252704909133e-10
"PHF13",-6.56734142614917,-5.92797399229893,-7.51944461255586,-1.52762051067264,1.00532789140036,-1.43750673122092,0.0469333483389245,1.76150103162723e-11,5.68157565999502e-11,9.64075959948067e-12,2.6723694516872e-11
"PHF14",-5.96901401567452,-5.43476735267668,-6.8944389347449,-1.41227959531532,0.845257161860475,-1.58214725220464,0.0442666826251955,1.87770745098319e-12,8.25320174151799e-12,2.76242340417723e-12,8.7097674050174e-12
"PHF15",-4.72908158760999,-4.21955048510765,-5.84304268100773,-1.50918822967845,1.16916419297228,-1.25034522838151,0.0869333410428543,6.42023218187735e-09,1.25299611176921e-08,2.4369396002973e-09,4.70402892275943e-09
"PHF16",-6.77843881960639,-6.19904677605315,-8.1173060925012,-1.90071966212627,1.34323698983045,-1.32832043156381,0.0773333421090474,5.92208586067179e-10,1.34980959224541e-09,3.64151477764124e-10,7.76027741628863e-10
"PHF17",-4.37042742608023,-3.63629649231235,-5.97673983467728,-2.3537156231831,1.17185523259367,-1.924740001122,0.0213276799173569,1.8957218619181e-15,2.96577701729186e-14,4.64195106206771e-14,2.67211279278515e-13
"PHF19",-7.29218202014148,-6.98783451959623,-7.72010866761005,-1.01897148124179,1.20972969280171,-0.751593640766271,0.209277528594405,3.54207222342312e-05,5.06948072734294e-05,6.52836940428755e-05,9.1146421727019e-05
"PHF2",-5.34758950031536,-4.80342727927836,-6.57336600921492,-1.69968621849251,1.07698585553136,-1.46241597383586,0.0498666807414598,7.00759686752187e-11,1.94198353571769e-10,1.9007486453306e-11,4.98165601408307e-11
"PHF20",-5.6304877440354,-5.04512674369627,-6.6621876439631,-1.61862311470855,1.09245334648853,-1.44027308620708,0.0581178471965998,4.8302341573462e-11,1.39193377447764e-10,3.04336999664268e-11,7.70345157718385e-11
"PHF20L1",-5.84384014382173,-5.21027382611507,-6.97131576175615,-1.73633940246046,0.994509643149018,-1.61539809207337,0.0384000185197676,1.50658983229109e-12,6.87477107409937e-12,1.59253820127631e-12,5.34787098850121e-12
"PHF21A",-5.94670197967327,-5.58819543100726,-6.62510231503123,-1.04352648601295,0.963755621198496,-0.988293212375579,0.159466670430505,6.7167530299267e-07,1.08059684812763e-06,1.12656565740966e-06,1.75047949069541e-06
