"","median.effect","median.effect.l","median.effect.u","ctt.pval","cwt.pval","gtt.pval","ctt.pval.BH.adj","cwt.pval.BH.adj","gtt.pval.BH.adj"
"TRIM52",-0.897453065786021,-0.897453065786021,1.60254693421398,1,1,0.999933962850028,1,1,1
"TRIM54",-0.552441286071589,-0.552441286071589,1.94755871392841,1,1,0.799529744967002,1,1,1
"TRIM55",-0.746319092889804,-0.746319092889804,1.7536809071102,1,1,0.976776086041358,1,1,1
"TRIM56",-1.65061937737139,-1.65061937737139,0.84938062262861,1,1,0.99949338926815,1,1,1
"TRIM58",-2.31254763840237,-2.31254763840237,0.187452361597629,1,0.997391754216433,0.743878956531588,1,1,1
"TRIM59",-0.500567359513913,-0.500567359513913,1.99943264048609,1,1,0.974655265373661,1,1,1
"TRIM6",-2.3635324797974,-2.3635324797974,0.136467520202604,1,1,0.657045049407108,1,1,1
"TRIM6-TRIM34",-2.17045433461354,-2.17045433461354,0.329545665386463,0.937686014744519,0.963384624122042,0.664409628542391,1,1,0.9978232266801
"TRIM61",-2.07300054003982,-2.07300054003982,0.426999459960177,1,0.998583157107414,0.888687783594822,1,1,1
"TRIM62",-1.49493903761905,-1.49493903761905,1.00506096238095,1,1,0.999999031917915,1,1,1
"TRIM63",-2.77068703814905,-2.77068703814905,-0.270687038149049,0.69911415580701,0.101015481068322,0.357540379432878,1,0.943626181487637,1
"TRIM65",-1.38997796694046,-1.38997796694046,1.11002203305954,1,1,0.999999997575139,1,1,1
"TRIM66",-1.41152264667535,-1.41152264667535,1.08847735332465,1,1,0.999974538583536,1,1,1
"TRIM67",-2.8220136296989,-2.8220136296989,-0.322013629698899,0.529081008903943,0.58631292861318,0.268336239129002,1,0.998449338633733,0.994114666465585
"TRIM68",-2.53247249134926,-2.53247249134926,-0.0324724913492638,0.867393470989597,0.980897127642371,0.433787980337479,1,1,1
"TRIM69",-0.371258145417015,-0.371258145417015,2.12874185458299,1,1,0.934512297778189,1,1,1
"TRIM7",-0.986772627056991,-0.986772627056991,1.51322737294301,1,1,0.999904649475334,1,1,1
"TRIM71",-3.02296739082733,-3.02296739082733,-0.52296739082733,0.418693065491141,0.20062938947045,0.209376610230516,0.99988497753527,0.998338132977104,0.989065277415641
"TRIM72",-1.6880628691835,-1.6880628691835,0.811937130816497,1,1,0.922291048430733,1,1,1
"TRIM78P",-0.493976623317869,-0.493976623317869,2.00602337668213,1,1,0.913552371488194,1,1,1
"TRIM8",-2.25608741165676,-2.25608741165676,0.243912588343239,1,1,0.948106811722887,1,1,1
"TRIM9",1.02098241162143,1.02098241162143,3.52098241162143,7.46238350136389e-05,9.1228006792665e-05,3.73119175068228e-05,0.0102998894416369,0.0114051499912762,0.00514994572312289
"TRIO",-1.21266020443892,-1.21266020443892,1.28733979556108,1,1,0.999999797767409,1,1,1
"TRIOBP",-1.18453832387807,-1.18453832387807,1.31546167612193,1,1,0.999999998837626,1,1,1
"TRIP10",-0.714984380796332,-0.714984380796332,1.78501561920367,1,1,0.999941483365376,1,1,1
"TRIP11",-2.64573636139749,-2.64573636139749,-0.145736361397491,0.584836709911896,0.965131266655195,0.292418354955963,1,1,1
"TRIP12",-1.9691733405373,-1.9691733405373,0.530826659462698,1,1,0.985949972196023,1,1,1
"TRIP13",0.110995429190848,0.110995429190848,2.61099542919085,0.631780944397179,0.403667194531052,0.31589047219859,1,1,1
"TRIP4",-1.79050158458159,-1.79050158458159,0.709498415418411,1,1,0.99994359871051,1,1,1
"TRIP6",-1.49240231620616,-1.49240231620616,1.00759768379384,1,1,0.999999999892626,1,1,1
"TRIT1",-1.3261622951595,-1.3261622951595,1.1738377048405,1,1,0.999999999906506,1,1,1
"TRMT1",-0.492648789386446,-0.492648789386446,2.00735121061355,1,1,0.998450765862004,1,1,1
"TRMT11",-1.7945415575506,-1.7945415575506,0.705458442449398,1,1,0.999828208388541,1,1,1
"TRMT112",-0.986576780212252,-0.986576780212252,1.51342321978775,1,1,0.999999997442006,1,1,1
"TRMT12",-2.05212353806552,-2.05212353806552,0.447876461934485,1,1,0.99313800923016,1,1,1
"TRMT1L",-1.94536612247727,-1.94536612247727,0.554633877522729,1,1,0.993299202215686,1,1,1
"TRMT2A",-0.714616016385194,-0.714616016385194,1.78538398361481,1,1,0.999997156604968,1,1,1
"TRMT2B",-2.03715304836093,-2.03715304836093,0.462846951639073,1,1,0.98893671115419,1,1,1
"TRMT5",-2.01474995454086,-2.01474995454086,0.485250045459137,1,1,0.987396544693938,1,1,1
"TRMT6",-2.2466412883874,-2.2466412883874,0.253358711612601,1,1,0.922367690602746,1,1,1
"TRMT61A",-1.59861772577298,-1.59861772577298,0.901382274227021,1,1,0.999999597412783,1,1,1
"TRMT61B",-2.00649290525429,-2.00649290525429,0.493507094745711,1,1,0.98233176899356,1,1,1
"TRMU",-1.22216274969159,-1.22216274969159,1.27783725030841,1,1,0.999999999797622,1,1,1
"TRNAU1AP",-0.923117055922414,-0.923117055922414,1.57688294407759,1,1,0.999999935665533,1,1,1
"TRNP1",-4.54529444338694,-4.54529444338694,-2.04529444338694,3.55668084605555e-07,5.00630153395914e-07,1.77834042303653e-07,1.83674834730391e-05,2.2579388780861e-05,9.18374662146274e-06
"TRNT1",-2.48809892497464,-2.48809892497464,0.0119010750253583,0.994008835881386,0.980437295957336,0.523506592962441,1,1,1
"TRO",-1.63194303698914,-1.63194303698914,0.868056963010855,1,1,0.998585288116994,1,1,1
"TROAP",1.51784200185894,1.51784200185894,4.01784200185894,0.000600460562702288,7.05723308033595e-05,0.000300230281505085,0.0544028523440189,0.0089856770499002,0.0272014278757167
"TROVE2",-1.7647341568323,-1.7647341568323,0.735265843167697,1,1,0.999199361625653,1,1,1
"TRPA1",2.35491698235556,2.35491698235556,4.85491698235556,1.50567335022207e-05,6.6874851211107e-06,7.52836681625846e-06,0.00260711907932517,0.00129077496035137,0.00130355955264871
"TRPC1",-1.23444443818416,-1.23444443818416,1.26555556181584,1,1,0.999999913676039,1,1,1
"TRPC2",1.02800344057539,1.02800344057539,3.52800344057539,0.0607607015759121,0.219584438375303,0.0303804687769796,0.990106609473858,1,0.829678453640433
"TRPC3",-1.80303096616799,-1.80303096616799,0.696969033832011,1,1,0.975357723407871,1,1,1
"TRPC4",-0.966430787129144,-0.966430787129144,1.53356921287086,1,1,0.997783724358575,1,1,1
"TRPC4AP",-1.46994919348607,-1.46994919348607,1.03005080651393,1,1,0.999999999380009,1,1,1
"TRPC5",-3.89482135928184,-3.89482135928184,-1.39482135928184,0.0461136055981017,0.0170594619238141,0.0230600438925672,0.416281199059104,0.223701451071263,0.246440561562452
"TRPC6",-0.993746572850767,-0.993746572850767,1.50625342714923,1,1,0.999443440809655,1,1,1
"TRPC7",-3.02329419514726,-3.02329419514726,-0.523294195147262,0.493079123067784,0.151037764470656,0.247701861768147,1,0.994830152012682,0.99487892043875
